"Alt" "Sex" "Age" "Method" "OT" "ANT" "Offset" "Hunter" "Month" "MonthCalendar" "Year"
"125" "7" "M" "A" "Trampa" 0 2 2 "HUNT7" 27 3 2013
"126" "7" "F" "Y" "Escopeta" 0 0 2 "HUNT7" 27 3 2013
"127" "7" "M" "Y" "Escopeta" 0 0 2 "HUNT7" 27 3 2013
"128" "7" "F" "A" "Escopeta" 2 0 2 "HUNT7" 27 3 2013
"129" "7" "M" "A" "Escopeta" 0 0 2 "HUNT7" 27 3 2013
"130" "7" "F" "A" "Escopeta" 0 3 1 "HUNT7" 29 5 2013
"131" "7" "M" "A" "Escopeta" 0 2 1 "HUNT7" 29 5 2013
"132" "7" "M" "A" "Trampa" 0 3 1 "HUNT7" 30 6 2013
"133" "7" "F" "A" "Trampa" 0 1 1 "HUNT7" 30 6 2013
"134" "7" "F" "A" "Trampa" 0 7 5 "HUNT7" 31 7 2013
"135" "7" "M" "A" "Trampa" 1 2 5 "HUNT7" 31 7 2013
"136" "7" "F" "Y" "Trampa" 0 1 5 "HUNT7" 31 7 2013
"137" "7" "M" "Y" "Trampa" 0 1 5 "HUNT7" 31 7 2013
"138" "7" "F" "A" "Escopeta" 1 0 5 "HUNT7" 31 7 2013
"139" "7" "M" "A" "Escopeta" 0 1 5 "HUNT7" 31 7 2013
"140" "7" "F" "Y" "Escopeta" 0 0 5 "HUNT7" 31 7 2013
"141" "7" "M" "Y" "Escopeta" 0 1 5 "HUNT7" 31 7 2013
"142" "6" "F" "A" "Trampa" 0 8 1 "HUNT8" 9 6 2011
"143" "6" "M" "A" "Trampa" 0 3 1 "HUNT8" 9 6 2011
"144" "6" "F" "A" "Trampa" 0 7 1 "HUNT8" 11 8 2011
"145" "6" "M" "A" "Trampa" 0 3 1 "HUNT8" 11 8 2011
"146" "6" "F" "A" "Escopeta" 3 3 2 "HUNT8" 12 9 2011
"147" "6" "M" "A" "Escopeta" 0 5 2 "HUNT8" 12 9 2011
"148" "6" "F" "A" "Trampa" 0 8 2 "HUNT8" 12 9 2011
"149" "6" "M" "A" "Trampa" 0 0 2 "HUNT8" 12 9 2011
"150" "1" "F" "A" "Trampa" 1 0 1 "HUNT9" 1 8 2010
"151" "1" "F" "A" "Escopeta" 0 4 1 "HUNT10" 3 10 2010
"152" "1" "M" "A" "Escopeta" 0 2 1 "HUNT10" 3 10 2010
"153" "6" "F" "A" "Trampa" 0 8 1 "HUNT10" 5 12 2010
"154" "6" "M" "A" "Trampa" 0 1 1 "HUNT10" 5 12 2010
"155" "6" "F" "Y" "Trampa" 0 0 1 "HUNT10" 5 12 2010
"156" "6" "M" "Y" "Trampa" 0 3 1 "HUNT10" 5 12 2010
"157" "6" "F" "A" "Trampa" 0 5 1 "HUNT10" 7 4 2011
"158" "6" "M" "A" "Trampa" 0 3 1 "HUNT10" 7 4 2011
"159" "6" "F" "A" "Trampa" 2 15 3 "HUNT10" 8 5 2011
"160" "6" "M" "A" "Trampa" 0 8 3 "HUNT10" 8 5 2011
"161" "1" "M" "A" "Trampa" 2 1 1 "HUNT10" 20 6 2012
"162" "1" "F" "A" "Trampa" 1 2 1 "HUNT10" 20 6 2012
"163" "1" "M" "Y" "Trampa" 0 1 1 "HUNT10" 20 6 2012
"164" "1" "F" "Y" "Trampa" 0 0 1 "HUNT10" 20 6 2012
"165" "3" "F" "A" "Trampa" 0 4 3 "HUNT10" 21 7 2012
"166" "5" "F" "A" "Trampa" 0 10 3 "HUNT10" 21 7 2012
"167" "3" "M" "A" "Trampa" 0 2 3 "HUNT10" 21 7 2012
"168" "5" "M" "A" "Trampa" 1 3 3 "HUNT10" 21 7 2012
"169" "3" "F" "Y" "Trampa" 0 1 3 "HUNT10" 21 7 2012
"170" "5" "F" "Y" "Trampa" 0 1 3 "HUNT10" 21 7 2012
"171" "3" "M" "Y" "Trampa" 0 1 3 "HUNT10" 21 7 2012
"172" "5" "M" "Y" "Trampa" 0 0 3 "HUNT10" 21 7 2012
"173" "7" "F" "A" "Trampa" 2 9 2 "HUNT10" 24 11 2012
"174" "7" "M" "A" "Trampa" 0 5 2 "HUNT10" 24 11 2012
"175" "7" "F" "Y" "Trampa" 0 2 2 "HUNT10" 24 11 2012
"176" "7" "M" "Y" "Trampa" 0 0 2 "HUNT10" 24 11 2012
"177" "6" "F" "A" "Trampa" 0 2 1 "HUNT10" 26 2 2013
"178" "6" "F" "A" "Trampa" 3 13 3 "HUNT10" 27 3 2013
"179" "6" "M" "A" "Trampa" 1 7 3 "HUNT10" 27 3 2013
"180" "6" "F" "Y" "Trampa" 1 3 3 "HUNT10" 27 3 2013
"181" "6" "M" "Y" "Trampa" 0 0 3 "HUNT10" 27 3 2013
"182" "6" "F" "A" "Trampa" 2 2 2 "HUNT10" 28 4 2013
"183" "6" "M" "A" "Trampa" 0 4 2 "HUNT10" 28 4 2013
"184" "6" "M" "A" "Trampa" 0 2 3 "HUNT10" 29 5 2013
"185" "4" "M" "A" "Trampa" 0 2 3 "HUNT10" 29 5 2013
"186" "6" "F" "A" "Trampa" 0 5 3 "HUNT10" 29 5 2013
"187" "4" "F" "A" "Trampa" 0 3 3 "HUNT10" 29 5 2013
"188" "6" "M" "Y" "Trampa" 0 0 3 "HUNT10" 29 5 2013
"189" "4" "M" "Y" "Trampa" 0 1 3 "HUNT10" 29 5 2013
"190" "6" "F" "Y" "Trampa" 0 0 3 "HUNT10" 29 5 2013
"191" "4" "F" "Y" "Trampa" 0 1 3 "HUNT10" 29 5 2013
"192" "6" "F" "A" "Trampa" 0 4 1 "HUNT10" 30 6 2013
"193" "6" "M" "A" "Trampa" 0 3 1 "HUNT10" 30 6 2013
"194" "6" "F" "A" "Trampa" 1 14 4 "HUNT10" 31 7 2013
"195" "6" "M" "A" "Trampa" 2 5 4 "HUNT10" 31 7 2013
"196" "6" "F" "Y" "Trampa" 0 0 4 "HUNT10" 31 7 2013
"197" "6" "M" "Y" "Trampa" 1 0 4 "HUNT10" 31 7 2013
"198" "1" "F" "A" "Trampa" 3 0 1 "HUNT10" 33 9 2013
"199" "1" "M" "A" "Trampa" 3 0 1 "HUNT10" 33 9 2013
"200" "2" "M" "A" "Trampa" 1 0 1 "HUNT11" 31 7 2013
"201" "2" "F" "A" "Trampa" 0 5 2 "HUNT12" 2 9 2010
"202" "1" "F" "A" "Trampa" 5 7 2 "HUNT12" 2 9 2010
"203" "2" "M" "A" "Trampa" 2 0 2 "HUNT12" 2 9 2010
"204" "1" "M" "A" "Trampa" 1 2 2 "HUNT12" 2 9 2010
"205" "2" "F" "A" "Trampa" 0 28 6 "HUNT12" 3 10 2010
"206" "2" "M" "A" "Trampa" 0 13 6 "HUNT12" 3 10 2010
"207" "2" "F" "Y" "Trampa" 0 5 6 "HUNT12" 3 10 2010
"208" "2" "M" "Y" "Trampa" 0 6 6 "HUNT12" 3 10 2010
"209" "2" "F" "A" "Trampa" 3 10 4 "HUNT12" 4 11 2010
"210" "2" "M" "A" "Trampa" 0 15 4 "HUNT12" 4 11 2010
"211" "2" "F" "Y" "Trampa" 0 4 4 "HUNT12" 4 11 2010
"212" "2" "M" "Y" "Trampa" 0 0 4 "HUNT12" 4 11 2010
"213" "2" "F" "A" "Trampa" 0 10 2 "HUNT12" 5 12 2010
"214" "2" "M" "A" "Trampa" 0 5 2 "HUNT12" 5 12 2010
"215" "2" "F" "A" "Trampa" 1 2 1 "HUNT12" 6 1 2011
"216" "2" "M" "A" "Trampa" 0 2 1 "HUNT12" 6 1 2011
"217" "2" "F" "A" "Trampa" 3 6 3 "HUNT12" 9 6 2011
"218" "2" "M" "A" "Trampa" 2 5 3 "HUNT12" 9 6 2011
"219" "2" "F" "Y" "Trampa" 0 1 3 "HUNT12" 9 6 2011
"220" "2" "M" "Y" "Trampa" 0 0 3 "HUNT12" 9 6 2011
"221" "2" "F" "A" "Trampa" 1 10 3 "HUNT12" 10 7 2011
"222" "2" "M" "A" "Trampa" 1 6 3 "HUNT12" 10 7 2011
"223" "2" "F" "Y" "Trampa" 0 2 3 "HUNT12" 10 7 2011
"224" "2" "M" "Y" "Trampa" 0 0 3 "HUNT12" 10 7 2011
"225" "2" "F" "A" "Trampa" 5 20 5 "HUNT12" 11 8 2011
"226" "2" "M" "A" "Trampa" 2 9 5 "HUNT12" 11 8 2011
"227" "2" "F" "Y" "Trampa" 0 1 5 "HUNT12" 11 8 2011
"228" "2" "M" "Y" "Trampa" 0 4 5 "HUNT12" 11 8 2011
"229" "2" "F" "A" "Trampa" 4 13 3 "HUNT12" 12 9 2011
"230" "2" "M" "A" "Trampa" 0 5 3 "HUNT12" 12 9 2011
"231" "2" "F" "Y" "Trampa" 1 1 3 "HUNT12" 12 9 2011
"232" "2" "M" "Y" "Trampa" 0 1 3 "HUNT12" 12 9 2011
"233" "2" "F" "A" "Trampa" 2 12 6 "HUNT12" 13 10 2011
"234" "2" "M" "A" "Trampa" 2 9 6 "HUNT12" 13 10 2011
"235" "2" "F" "Y" "Trampa" 0 4 6 "HUNT12" 13 10 2011
"236" "2" "M" "Y" "Trampa" 0 3 6 "HUNT12" 13 10 2011
"237" "2" "F" "A" "Trampa" 0 15 4 "HUNT12" 14 11 2011
"238" "2" "M" "A" "Trampa" 1 8 4 "HUNT12" 14 11 2011
"239" "2" "F" "Y" "Trampa" 0 1 4 "HUNT12" 14 11 2011
"240" "2" "M" "Y" "Trampa" 0 1 4 "HUNT12" 14 11 2011
"241" "1" "F" "A" "Escopeta" 1 0 1 "HUNT13" 1 8 2010
"242" "4" "M" "A" "Escopeta" 1 10 4 "HUNT13" 2 9 2010
"243" "4" "F" "A" "Escopeta" 0 26 4 "HUNT13" 2 9 2010
"244" "4" "M" "Y" "Escopeta" 0 1 4 "HUNT13" 2 9 2010
"245" "4" "F" "Y" "Escopeta" 0 0 4 "HUNT13" 2 9 2010
"246" "1" "F" "A" "Escopeta" 23 0 5 "HUNT13" 3 10 2010
"247" "4" "F" "A" "Escopeta" 0 4 5 "HUNT13" 3 10 2010
"248" "6" "F" "A" "Escopeta" 0 2 5 "HUNT13" 3 10 2010
"249" "1" "M" "A" "Escopeta" 13 0 5 "HUNT13" 3 10 2010
"250" "4" "M" "A" "Escopeta" 0 0 5 "HUNT13" 3 10 2010
"251" "6" "M" "A" "Escopeta" 0 1 5 "HUNT13" 3 10 2010
"252" "1" "F" "Y" "Escopeta" 2 0 5 "HUNT13" 3 10 2010
"253" "4" "F" "Y" "Escopeta" 0 0 5 "HUNT13" 3 10 2010
"254" "6" "F" "Y" "Escopeta" 0 2 5 "HUNT13" 3 10 2010
"255" "1" "M" "Y" "Escopeta" 1 0 5 "HUNT13" 3 10 2010
"256" "4" "M" "Y" "Escopeta" 0 0 5 "HUNT13" 3 10 2010
"257" "6" "M" "Y" "Escopeta" 0 1 5 "HUNT13" 3 10 2010
"258" "1" "F" "A" "Escopeta" 16 0 3 "HUNT13" 4 11 2010
"259" "4" "F" "A" "Escopeta" 0 5 3 "HUNT13" 4 11 2010
"260" "1" "M" "A" "Escopeta" 6 0 3 "HUNT13" 4 11 2010
"261" "4" "M" "A" "Escopeta" 0 6 3 "HUNT13" 4 11 2010
"262" "1" "F" "Y" "Escopeta" 2 0 3 "HUNT13" 4 11 2010
"263" "4" "F" "Y" "Escopeta" 0 0 3 "HUNT13" 4 11 2010
"264" "1" "M" "Y" "Escopeta" 2 0 3 "HUNT13" 4 11 2010
"265" "4" "M" "Y" "Escopeta" 0 0 3 "HUNT13" 4 11 2010
"266" "4" "F" "A" "Escopeta" 0 16 4 "HUNT13" 5 12 2010
"267" "1" "F" "A" "Escopeta" 15 0 4 "HUNT13" 5 12 2010
"268" "4" "M" "A" "Escopeta" 2 10 4 "HUNT13" 5 12 2010
"269" "1" "M" "A" "Escopeta" 12 0 4 "HUNT13" 5 12 2010
"270" "4" "F" "Y" "Escopeta" 1 0 4 "HUNT13" 5 12 2010
"271" "1" "F" "Y" "Escopeta" 0 0 4 "HUNT13" 5 12 2010
"272" "4" "M" "Y" "Escopeta" 0 0 4 "HUNT13" 5 12 2010
"273" "1" "M" "Y" "Escopeta" 0 0 4 "HUNT13" 5 12 2010
"274" "4" "F" "A" "Escopeta" 0 16 2 "HUNT13" 6 1 2011
"275" "4" "M" "A" "Escopeta" 0 2 2 "HUNT13" 6 1 2011
"276" "4" "F" "A" "Escopeta" 0 3 1 "HUNT13" 7 4 2011
"277" "4" "M" "A" "Escopeta" 0 3 1 "HUNT13" 7 4 2011
"278" "6" "F" "A" "Escopeta" 0 8 3 "HUNT13" 8 5 2011
"279" "4" "F" "A" "Escopeta" 0 14 3 "HUNT13" 8 5 2011
"280" "6" "M" "A" "Escopeta" 0 3 3 "HUNT13" 8 5 2011
"281" "4" "M" "A" "Escopeta" 0 5 3 "HUNT13" 8 5 2011
"282" "4" "F" "A" "Escopeta" 0 7 1 "HUNT13" 9 6 2011
"283" "4" "M" "A" "Escopeta" 0 2 1 "HUNT13" 9 6 2011
"284" "4" "F" "A" "Escopeta" 0 23 5 "HUNT13" 10 7 2011
"285" "2" "F" "A" "Escopeta" 2 3 5 "HUNT13" 10 7 2011
"286" "4" "M" "A" "Escopeta" 0 8 5 "HUNT13" 10 7 2011
"287" "2" "M" "A" "Escopeta" 0 3 5 "HUNT13" 10 7 2011
"288" "4" "F" "A" "Escopeta" 1 29 7 "HUNT13" 11 8 2011
"289" "2" "F" "A" "Escopeta" 2 7 7 "HUNT13" 11 8 2011
"290" "4" "M" "A" "Escopeta" 1 27 7 "HUNT13" 11 8 2011
"291" "2" "M" "A" "Escopeta" 0 0 7 "HUNT13" 11 8 2011
"292" "4" "F" "A" "Escopeta" 1 27 5 "HUNT13" 12 9 2011
"293" "4" "M" "A" "Escopeta" 0 16 5 "HUNT13" 12 9 2011
"294" "4" "F" "Y" "Escopeta" 0 2 5 "HUNT13" 12 9 2011
"295" "4" "M" "Y" "Escopeta" 0 0 5 "HUNT13" 12 9 2011
"296" "4" "M" "A" "Escopeta" 0 10 4 "HUNT13" 15 12 2011
"297" "4" "F" "A" "Escopeta" 0 22 4 "HUNT13" 15 12 2011
"298" "4" "F" "A" "Escopeta" 0 16 4 "HUNT13" 16 1 2012
"299" "4" "M" "A" "Escopeta" 1 8 4 "HUNT13" 16 1 2012
"300" "4" "F" "Y" "Escopeta" 0 0 4 "HUNT13" 16 1 2012
"301" "4" "M" "Y" "Escopeta" 0 1 4 "HUNT13" 16 1 2012
"302" "4" "F" "A" "Escopeta" 0 9 2 "HUNT13" 17 3 2012
"303" "4" "M" "A" "Escopeta" 0 7 2 "HUNT13" 17 3 2012
"304" "4" "F" "Y" "Escopeta" 0 2 2 "HUNT13" 17 3 2012
"305" "4" "M" "Y" "Escopeta" 0 0 2 "HUNT13" 17 3 2012
"306" "4" "M" "A" "Escopeta" 0 8 5 "HUNT13" 18 4 2012
"307" "5" "M" "A" "Escopeta" 0 3 5 "HUNT13" 18 4 2012
"308" "3" "M" "A" "Escopeta" 0 1 5 "HUNT13" 18 4 2012
"309" "4" "F" "A" "Escopeta" 0 17 5 "HUNT13" 18 4 2012
"310" "5" "F" "A" "Escopeta" 0 5 5 "HUNT13" 18 4 2012
"311" "3" "F" "A" "Escopeta" 0 7 5 "HUNT13" 18 4 2012
"312" "4" "F" "A" "Escopeta" 0 19 3 "HUNT13" 19 5 2012
"313" "4" "M" "A" "Escopeta" 1 5 3 "HUNT13" 19 5 2012
"314" "4" "F" "A" "Escopeta" 0 8 3 "HUNT13" 20 6 2012
"315" "3" "F" "A" "Escopeta" 0 4 3 "HUNT13" 20 6 2012
"316" "4" "M" "A" "Escopeta" 1 4 3 "HUNT13" 20 6 2012
"317" "3" "M" "A" "Escopeta" 0 3 3 "HUNT13" 20 6 2012
"318" "4" "F" "Y" "Escopeta" 0 0 3 "HUNT13" 20 6 2012
"319" "3" "F" "Y" "Escopeta" 0 1 3 "HUNT13" 20 6 2012
"320" "4" "M" "Y" "Escopeta" 0 3 3 "HUNT13" 20 6 2012
"321" "3" "M" "Y" "Escopeta" 0 0 3 "HUNT13" 20 6 2012
"322" "4" "M" "A" "Escopeta" 0 2 1 "HUNT13" 21 7 2012
"323" "4" "F" "A" "Escopeta" 0 7 1 "HUNT13" 21 7 2012
"324" "4" "M" "Y" "Escopeta" 0 1 1 "HUNT13" 21 7 2012
"325" "4" "F" "Y" "Escopeta" 0 1 1 "HUNT13" 21 7 2012
"326" "4" "F" "A" "Escopeta" 0 17 3 "HUNT13" 22 8 2012
"327" "4" "M" "A" "Escopeta" 0 6 3 "HUNT13" 22 8 2012
"328" "4" "F" "Y" "Escopeta" 0 2 3 "HUNT13" 22 8 2012
"329" "4" "M" "Y" "Escopeta" 0 2 3 "HUNT13" 22 8 2012
"330" "4" "F" "A" "Escopeta" 0 13 2 "HUNT13" 23 10 2012
"331" "4" "M" "A" "Escopeta" 0 5 2 "HUNT13" 23 10 2012
"332" "4" "F" "Y" "Escopeta" 0 4 2 "HUNT13" 23 10 2012
"333" "4" "M" "Y" "Escopeta" 0 0 2 "HUNT13" 23 10 2012
"334" "4" "F" "A" "Escopeta" 3 5 1 "HUNT13" 24 11 2012
"335" "4" "M" "A" "Escopeta" 0 2 1 "HUNT13" 24 11 2012
"336" "4" "F" "A" "Escopeta" 1 4 1 "HUNT13" 25 12 2012
"337" "4" "M" "A" "Escopeta" 0 2 1 "HUNT13" 25 12 2012
"338" "4" "F" "Y" "Escopeta" 0 2 1 "HUNT13" 25 12 2012
"339" "4" "M" "Y" "Escopeta" 0 1 1 "HUNT13" 25 12 2012
"340" "4" "F" "A" "Escopeta" 0 4 1 "HUNT13" 26 2 2013
